SKU;Descrição;Validade;Estoque
12029565;NESCAFE MATINAL 24x100g BR;01/03/2028;8
12041117;MAGGI Sopao Galinha Caipira 24x200g BR;01/03/2027;0
12045051;PASSATEMPO Biscoito Leite 54x150g BR;20/01/2027;0
12073778;NESTLE NPro Cob Rech Ganache 6x2,330kgBR;06/11/2026;2
12091059;MOCA Lei CondSemiDesnCaixinha 27x395g BR;01/12/2026;0
12097176;ALPINO Bebida Garrafa Plas 4(6x280ml) BR;04/11/2026;78
12099104;ALPINO Chocolate Bag 24x195g BR;25/12/2026;0
12105545;MUCILON  Multicereais Lata 18x400g BR;01/12/2026;0
12105548;MUCILON Milho Lata 18x400g BR;01/12/2026;0
12105550;MUCILON Arroz Lata 18x400g BR;01/01/2027;0
12106033;NESCAU Cer Matinal Sachet 12(16x30g) BR;18/10/2026;0
12106251;MUCILON Arroz Aveia Lata 18x400g BR;01/11/2026;0
12127625;MUCILON Arroz e Aveia Sachet 9x600g N1BR;01/12/2026;756
12133006;MOCA Doce de Leite NPro 5x3kg BR;11/06/2026;0
12133009;NESTLE Nestilly UHT NPro 12x1kg BR;01/10/2026;0
12133134;NESTLE Creme de Leite UHT NPro 12x1kg BR;01/11/2026;75
12136357;PRESTIGIO Wafer 48x110g BR;03/11/2026;126
12136358;CLASSIC Wafer 48x110g BR;03/10/2026;0
12136359;NEGRESCO Wafer 48x110g BR;13/11/2026;126
12138557;NESTLE Farinha Lactea Trdl Sac 9x600g BR;01/12/2026;840
12144488;GAROTO Cob Choc Branco 5x2,1kg BR;31/03/2027;0
12144489;GAROTO Cob Choc Meio Amargo 5x2,1kg BR;29/07/2026;0
12144708;GAROTO Cob Choc ao Leite 5x2,1kg BR;30/11/2026;0
12146794;PASSATEMPO Mini Wfr Mrg 16(28x20g) BR;27/09/2026;0
12146795;PASSATEMPO MiniWfrChoc 16(28x20g)BR;28/09/2026;0
12150285;NESCAU Prontinho Bebida Lactea 12x1L BR;03/11/2026;225
12153428;NESCAU Com Leite NPro 6x1,3kg BR;01/10/2026;0
12155337;BATON Bastao Duo 32(30x16g) XW;11/01/2027;0
12157199;ALPINO Achoc Com Leite NPro 6x1,3kg BR;01/11/2026;0
12168360;MAGGI FONDOR Tempero NPro 6x1,1kg BR;01/02/2027;0
12168361;MAGGI Amaciante de Carne NPro 6x1,1kg BR;01/01/2027;0
12168362;MAGGI GRIL Tempero NPro 6x1,1kg BR;01/01/2027;0
12171055;MUCILON Multicereais Sachet 9x600g BR;01/01/2027;126
12177187;NUTREN KIDS Baunilha 12x350g BR;01/10/2026;0
12177188;NUTREN KIDS Chocolate 12x350gBR;01/03/2027;0
12182407;CLASSIC Biscoito Recheado 60x140g BR;25/12/2026;0
12182408;NESCAU Biscoito Recheado 60x140g BR;27/01/2027;0
12182409;MOCA Biscoito Recheado 60x140g BR;15/06/2026;0
12182430;PRESTIGIO Biscoito Recheado 60x140g BR;15/01/2027;11
12187083;NESTON Bebida Garrafa Plas 4(6x280ml) BR;19/09/2026;78
12189531;MILANO LeiteemPo DesnatadoNPro 24x300gBR;01/09/2026;0
12196210;LOLLO Chocolate 12(30x28g) BR;12/01/2027;0
12209621;MOCA Recheio Morango NPro 6x2,6kg BR;18/06/2026;0
12220263;MOCA Brigadeiro NPro 6x2,570kg BR;31/07/2026;1
12223291;MAGGI Sopao Carne Panela 24x200g BR;01/03/2027;0
12227748;CLASSIC Diet Chocolate 12(22x25g) BR;17/12/2026;3
12228413;NESTON 3 Cereais Sachet 12x210g BR;01/11/2026;1296
12228529;NESTLE Farlact Trdl Sachet 24x210g BR;01/01/2027;80
12234477;NESCAU Cereal Matinal 14x770g BR;27/08/2026;0
12240800;MOLICO LepoDesnSac TotalCalcio 12x500gBR;01/06/2027;64
12240801;MOLICO Lepo Desn Total Calcio 24x280g BR;01/06/2027;64
12241562;NESTON Vitamina Mamao Bna Mc 24x210g BR;01/12/2026;0
12242943;NESCAU Bebida Garrafa Plas 4(6x270ml) BR;15/09/2026;156
12243344;MOCA LeiCondTradlLataAbreFacil 48x395gBR;01/02/2027;45
